variable,N,n_missing,missing_pct,n_observed
Participant_ID,77,0,0.0,77
Age,77,1,1.3,76
Gender,77,0,0.0,77
hight,77,77,100.0,0
weight,77,77,100.0,0
BMI,77,77,100.0,0
Education,77,77,100.0,0
Asa,77,77,100.0,0
heart Deases,77,77,100.0,0
surgery,77,77,100.0,0
x1,77,77,100.0,0
x2,77,77,100.0,0
x3,77,77,100.0,0
x4,77,77,100.0,0
x5,77,77,100.0,0
x6,77,77,100.0,0
x7,77,77,100.0,0
x8,77,77,100.0,0
x9,77,77,100.0,0
x10,77,77,100.0,0
x11,77,77,100.0,0
Total x,77,5,6.49,72
y1,77,77,100.0,0
y2,77,77,100.0,0
Totaly,77,3,3.9,74
TUG,77,0,0.0,77
سابفه سقوط,77,2,2.6,75
DLRT,77,77,100.0,0
Absolut error,77,77,100.0,0
HighFallRisk,77,0,0.0,77
