outer_fold,model,metric,reported_value,recomputed_value,absolute_difference,threshold_used,status
0,logistic_regression,roc_auc,0.650794,0.6507936507936508,3.492e-07,0.5,MATCH
0,logistic_regression,pr_auc,0.506639,0.5066385,5e-07,0.5,MATCH
0,logistic_regression,sensitivity,0.714286,0.7142857142857143,2.857e-07,0.5,MATCH
0,logistic_regression,specificity,0.777778,0.7777777777777778,2.222e-07,0.5,MATCH
0,logistic_regression,ppv,0.714286,0.7142857142857143,2.857e-07,0.5,MATCH
0,logistic_regression,npv,0.777778,0.7777777777777778,2.222e-07,0.5,MATCH
0,logistic_regression,f1,0.714286,0.7142857142857143,2.857e-07,0.5,MATCH
0,logistic_regression,balanced_accuracy,0.746032,0.746031746031746,2.54e-07,0.5,MATCH
0,logistic_regression,brier_score,0.237426,0.23742574282593754,2.572e-07,0.5,MATCH
0,linear_svm,roc_auc,0.666667,0.6666666666666666,3.333e-07,0.5,MATCH
0,linear_svm,pr_auc,-0.020078,-0.020078,0.0,0.5,MATCH
0,linear_svm,sensitivity,0.142857,0.14285714285714285,1.429e-07,0.5,MATCH
0,linear_svm,specificity,1.0,1.0,0.0,0.5,MATCH
0,linear_svm,ppv,1.0,1.0,0.0,0.5,MATCH
0,linear_svm,npv,0.6,0.6,0.0,0.5,MATCH
0,linear_svm,f1,0.25,0.25,0.0,0.5,MATCH
0,linear_svm,balanced_accuracy,0.571429,0.5714285714285714,4.286e-07,0.5,MATCH
0,linear_svm,brier_score,,,,0.5,N/A
0,random_forest,roc_auc,0.730159,0.7301587301587302,2.698e-07,0.5,MATCH
0,random_forest,pr_auc,0.46277,0.4627695,5e-07,0.5,MATCH
0,random_forest,sensitivity,0.571429,0.5714285714285714,4.286e-07,0.5,MATCH
0,random_forest,specificity,0.666667,0.6666666666666666,3.333e-07,0.5,MATCH
0,random_forest,ppv,0.571429,0.5714285714285714,4.286e-07,0.5,MATCH
0,random_forest,npv,0.666667,0.6666666666666666,3.333e-07,0.5,MATCH
0,random_forest,f1,0.571429,0.5714285714285714,4.286e-07,0.5,MATCH
0,random_forest,balanced_accuracy,0.619048,0.6190476190476191,3.81e-07,0.5,MATCH
0,random_forest,brier_score,0.215487,0.2154870888436875,8.88e-08,0.5,MATCH
