outer_fold,model,n_train,n_test,n_positive_train,n_positive_test,roc_auc,pr_auc,sensitivity,specificity,ppv,npv,f1,balanced_accuracy,brier_score,threshold_used
0,logistic_regression,61,16,26,7,0.650794,0.506639,0.714286,0.777778,0.714286,0.777778,0.714286,0.746032,0.237426,0.5
0,linear_svm,61,16,26,7,0.666667,-0.020078,0.142857,1.0,1.0,0.6,0.25,0.571429,,0.5
0,random_forest,61,16,26,7,0.730159,0.46277,0.571429,0.666667,0.571429,0.666667,0.571429,0.619048,0.215487,0.5
1,logistic_regression,61,16,26,7,0.571429,0.462843,0.142857,0.888889,0.5,0.571429,0.222222,0.515873,0.249817,0.5
1,linear_svm,61,16,26,7,0.571429,-0.071839,0.0,1.0,,0.5625,0.0,0.5,,0.5
1,random_forest,61,16,26,7,0.507937,0.535837,0.428571,0.666667,0.5,0.6,0.461538,0.547619,0.263625,0.5
2,logistic_regression,62,15,27,6,0.833333,0.693733,0.666667,0.777778,0.666667,0.777778,0.666667,0.722222,0.171258,0.5
2,linear_svm,62,15,27,6,0.814815,0.327614,0.666667,0.777778,0.666667,0.777778,0.666667,0.722222,,0.0
2,random_forest,62,15,27,6,0.574074,0.56,0.5,0.666667,0.5,0.666667,0.5,0.583333,0.272315,0.5
3,logistic_regression,62,15,27,6,0.685185,0.333665,0.166667,0.888889,0.5,0.615385,0.25,0.527778,0.222192,0.5
3,linear_svm,62,15,27,6,0.703704,-0.310582,0.0,1.0,,0.6,0.0,0.5,,0.5
3,random_forest,62,15,27,6,0.703704,0.27699,0.166667,0.888889,0.5,0.615385,0.25,0.527778,0.216584,0.5
4,logistic_regression,62,15,26,7,0.75,0.36982,0.428571,0.875,0.75,0.636364,0.545455,0.651786,0.215957,0.5
4,linear_svm,62,15,26,7,0.75,-0.237201,0.0,1.0,,0.533333,0.0,0.5,,0.5
4,random_forest,62,15,26,7,0.571429,0.458125,0.714286,0.75,0.714286,0.75,0.714286,0.732143,0.260292,0.5
