outer_fold,model,brier_score,n_bins,mean_predicted_values,observed_frequencies
0,logistic_regression,0.237426,2,"[0.49367226666666664, 0.616965]","[0.4, 1.0]"
0,random_forest,0.215487,3,"[0.35975619999999997, 0.4790698571428571, 0.7543232500000001]","[0.2, 0.42857142857142855, 0.75]"
1,logistic_regression,0.249817,2,"[0.36554539999999996, 0.46977909090909087]","[0.4, 0.45454545454545453]"
1,random_forest,0.263625,4,"[0.34497339999999993, 0.47970337500000004, 0.706774, 0.827258]","[0.6, 0.25, 1.0, 0.5]"
2,logistic_regression,0.171258,5,"[0.142202, 0.33012125000000003, 0.5093203333333333, 0.642729, 0.892558]","[0.0, 0.5, 0.0, 1.0, 0.75]"
2,random_forest,0.272315,5,"[0.12333350000000001, 0.2966665, 0.4941665, 0.701667, 0.876667]","[0.5, 0.16666666666666666, 0.75, 0.5, 0.0]"
3,logistic_regression,0.222192,2,"[0.310476875, 0.4488398571428571]","[0.25, 0.5714285714285714]"
3,random_forest,0.216584,4,"[0.165497, 0.3178126666666667, 0.492231, 0.691853]","[0.0, 0.4444444444444444, 0.25, 1.0]"
4,logistic_regression,0.215957,3,"[0.365877, 0.4577456, 0.671009]","[0.3333333333333333, 0.4, 1.0]"
4,random_forest,0.260292,3,"[0.30794133333333334, 0.4804787142857143, 0.650415]","[0.6666666666666666, 0.2857142857142857, 0.6]"
