outer_fold,feature,coefficient,abs_coefficient,odds_ratio,sign
0,Age,-0.533174,0.533174,0.58674,negative
0,Gender,-0.172325,0.172325,0.841706,negative
0,Total x,0.287501,0.287501,1.333092,positive
0,Totaly,0.978046,0.978046,2.659254,positive
0,TUG,-0.586593,0.586593,0.556219,negative
0,intercept,-0.109292,0.109292,,
1,Age,-0.390827,0.390827,0.676497,negative
1,Gender,-0.048434,0.048434,0.95272,negative
1,Total x,0.083989,0.083989,1.087617,positive
1,Totaly,1.158341,1.158341,3.184644,positive
1,TUG,-0.426472,0.426472,0.652808,negative
1,intercept,-0.251658,0.251658,,
2,Age,-0.432299,0.432299,0.649016,negative
2,Gender,-0.001444,0.001444,0.998557,negative
2,Total x,0.107992,0.107992,1.114039,positive
2,Totaly,0.931414,0.931414,2.538096,positive
2,TUG,-0.161165,0.161165,0.851151,negative
2,intercept,-0.229466,0.229466,,
3,Age,-0.426968,0.426968,0.652484,negative
3,Gender,-0.080892,0.080892,0.922293,negative
3,Total x,0.543327,0.543327,1.721725,positive
3,Totaly,1.046617,1.046617,2.848001,positive
3,TUG,-0.437866,0.437866,0.645412,negative
3,intercept,-0.198769,0.198769,,
4,Age,-0.50927,0.50927,0.600934,negative
4,Gender,0.031088,0.031088,1.031576,positive
4,Total x,-0.092698,0.092698,0.911469,negative
4,Totaly,0.855287,0.855287,2.352048,positive
4,TUG,0.048765,0.048765,1.049974,positive
4,intercept,-0.450808,0.450808,,
