outer_fold,model,threshold,sensitivity,specificity,ppv,npv,f1
0,logistic_regression,0.3,1.0,0.0,0.4375,,0.608696
0,logistic_regression,0.4,1.0,0.0,0.4375,,0.608696
0,logistic_regression,0.5,0.714286,0.777778,0.714286,0.777778,0.714286
0,logistic_regression,0.6,0.142857,1.0,1.0,0.6,0.25
0,logistic_regression,0.7,0.0,1.0,,0.5625,0.0
1,logistic_regression,0.3,1.0,0.0,0.4375,,0.608696
1,logistic_regression,0.4,0.714286,0.333333,0.454545,0.6,0.555556
1,logistic_regression,0.5,0.142857,0.888889,0.5,0.571429,0.222222
1,logistic_regression,0.6,0.0,1.0,,0.5625,0.0
1,logistic_regression,0.7,0.0,1.0,,0.5625,0.0
2,logistic_regression,0.3,1.0,0.555556,0.6,1.0,0.75
2,logistic_regression,0.4,0.666667,0.555556,0.5,0.714286,0.571429
2,logistic_regression,0.5,0.666667,0.777778,0.666667,0.777778,0.666667
2,logistic_regression,0.6,0.666667,0.888889,0.8,0.8,0.727273
2,logistic_regression,0.7,0.5,0.888889,0.75,0.727273,0.6
3,logistic_regression,0.3,1.0,0.444444,0.545455,1.0,0.705882
3,logistic_regression,0.4,0.666667,0.666667,0.571429,0.75,0.615385
3,logistic_regression,0.5,0.166667,0.888889,0.5,0.615385,0.25
3,logistic_regression,0.6,0.0,1.0,,0.6,0.0
3,logistic_regression,0.7,0.0,1.0,,0.6,0.0
4,logistic_regression,0.3,1.0,0.0,0.466667,,0.636364
4,logistic_regression,0.4,0.857143,0.25,0.5,0.666667,0.631579
4,logistic_regression,0.5,0.428571,0.875,0.75,0.636364,0.545455
4,logistic_regression,0.6,0.285714,1.0,1.0,0.615385,0.444444
4,logistic_regression,0.7,0.142857,1.0,1.0,0.571429,0.25
0,random_forest,0.3,1.0,0.111111,0.466667,1.0,0.636364
0,random_forest,0.4,0.857143,0.444444,0.545455,0.8,0.666667
0,random_forest,0.5,0.571429,0.666667,0.571429,0.666667,0.571429
0,random_forest,0.6,0.428571,0.888889,0.75,0.666667,0.545455
0,random_forest,0.7,0.428571,0.888889,0.75,0.666667,0.545455
1,random_forest,0.3,1.0,0.0,0.4375,,0.608696
1,random_forest,0.4,0.571429,0.222222,0.363636,0.4,0.444444
1,random_forest,0.5,0.428571,0.666667,0.5,0.6,0.461538
1,random_forest,0.6,0.285714,0.888889,0.666667,0.615385,0.4
1,random_forest,0.7,0.285714,0.888889,0.666667,0.615385,0.4
2,random_forest,0.3,0.666667,0.333333,0.4,0.6,0.5
2,random_forest,0.4,0.666667,0.666667,0.571429,0.75,0.615385
2,random_forest,0.5,0.5,0.666667,0.5,0.666667,0.5
2,random_forest,0.6,0.166667,0.777778,0.333333,0.583333,0.222222
2,random_forest,0.7,0.166667,0.888889,0.5,0.615385,0.25
3,random_forest,0.3,1.0,0.444444,0.545455,1.0,0.705882
3,random_forest,0.4,0.333333,0.666667,0.4,0.6,0.363636
3,random_forest,0.5,0.166667,0.888889,0.5,0.615385,0.25
3,random_forest,0.6,0.166667,1.0,1.0,0.642857,0.285714
3,random_forest,0.7,0.0,1.0,,0.6,0.0
4,random_forest,0.3,0.714286,0.0,0.384615,0.0,0.5
4,random_forest,0.4,0.714286,0.125,0.416667,0.333333,0.526316
4,random_forest,0.5,0.714286,0.75,0.714286,0.75,0.714286
4,random_forest,0.6,0.428571,0.75,0.6,0.6,0.5
4,random_forest,0.7,0.0,1.0,,0.533333,0.0
